episode,runtime,enddistance,score
42,1.5000000000000009,10.79792901557317,-36.23465682826352
43,1.5000000000000009,10.795241826924931,-36.22626772512084
44,1.5000000000000009,10.797202542701301,-36.22400997578606
45,1.5000000000000009,10.79922734149273,-36.23330925665228
46,1.5000000000000009,10.79817264509939,-36.23598424570533
47,1.5000000000000009,10.797135215949961,-36.233874914141076
48,1.5000000000000009,10.797485517961594,-36.23071941964095
49,1.5000000000000009,10.794728118567756,-36.22363634518045
50,1.5000000000000009,10.794963559334484,-36.225724974539176
51,1.5000000000000009,10.79826712347702,-36.23842121906759
52,1.5000000000000009,10.79451875742523,-36.226190400479595
53,1.5000000000000009,10.794447266727536,-36.22030359891083
54,1.5000000000000009,10.791994694999328,-36.22330131010695
55,1.5000000000000009,10.793559227505568,-36.219633821293684
56,1.5000000000000009,10.795355941917888,-36.22021398381567
57,1.5000000000000009,10.798611119434039,-36.236325695810734
58,1.5000000000000009,10.796687005345712,-36.22519797922466
59,1.5000000000000009,10.796518849389976,-36.23037021950336
60,1.5000000000000009,10.796632621413684,-36.22740824245052
61,1.5000000000000009,10.797768826319173,-36.23327105846061
62,1.5000000000000009,10.794944955675948,-36.22508133464415
63,1.5000000000000009,10.796957999995211,-36.23210189924283
64,1.5000000000000009,10.796558784710925,-36.23157091042569
65,1.5000000000000009,10.797564651345168,-36.23559299116748
66,1.5000000000000009,10.795741286659274,-36.22436876528644
67,1.5000000000000009,10.795250701309202,-36.2245911102506
68,1.5000000000000009,10.795061701355825,-36.22322101870186
69,1.5000000000000009,10.796020457820823,-36.22889842610009
70,1.5000000000000009,10.796633523206474,-36.23128688909638
71,1.5000000000000009,10.797353778900522,-36.23006811956182
72,1.5000000000000009,10.798714580066969,-36.23226472736962
73,1.5000000000000009,10.796466407681196,-36.227885407005616
74,1.5000000000000009,10.796546641798965,-36.22631683651868
75,1.5000000000000009,10.796242512423179,-36.226441241187416
76,1.5000000000000009,10.795054296193083,-36.23116469190547
77,1.5000000000000009,10.79429262468858,-36.223729373139726
78,1.5000000000000009,10.79630009122525,-36.22469621979243
79,1.5000000000000009,10.798955403383118,-36.23690456695406
80,1.5000000000000009,10.798715985608219,-36.239337567289745
81,1.5000000000000009,10.793149703486812,-36.21761683768364
82,1.5000000000000009,10.794641861403663,-36.22277210082113
83,1.5000000000000009,10.79596891360151,-36.22613063729135
84,1.5000000000000009,10.796273446107815,-36.22805804012475
85,1.5000000000000009,10.796544581021848,-36.2286947528918
86,1.5000000000000009,10.796591129495397,-36.22895315909817
87,1.5000000000000009,10.797241809775525,-36.23047492412468
88,1.5000000000000009,10.79624572789062,-36.228508163095924
89,1.5000000000000009,10.796828626443734,-36.23012062513686
90,1.5000000000000009,10.796171583492944,-36.22641613242119
91,1.5000000000000009,10.800437160718353,-36.24201160654637
92,1.5000000000000009,10.79645423963981,-36.22708678934124
93,1.5000000000000009,10.797100523937178,-36.23179075508667
94,1.5000000000000009,10.79617469665055,-36.235453816315925
95,1.5000000000000009,10.795170646320852,-36.22922506657097
96,1.5000000000000009,10.796074366277336,-36.22627307455724
97,1.5000000000000009,10.794435824901058,-36.217119342950255
98,1.5000000000000009,10.79533645927162,-36.22801497375092
99,1.5000000000000009,10.792585299969966,-36.216590273926194
100,1.5000000000000009,10.797791725205457,-36.22844720879033
101,1.5000000000000009,10.79530026583325,-36.225308135787614
102,1.5000000000000009,10.797422680925564,-36.23287821366684
103,1.5000000000000009,10.801989167473376,-36.238935600251665
104,1.5000000000000009,10.794888868950421,-36.226046378690086
105,1.5000000000000009,10.795224127087424,-36.22780696872503
106,1.5000000000000009,10.794981039411766,-36.224818878916416
107,1.5000000000000009,10.797685976718512,-36.225649667231416
108,1.5000000000000009,10.795571842413956,-36.22384601545265
109,1.5000000000000009,10.793590469508297,-36.22367947467073
110,1.5000000000000009,10.794391503514305,-36.21950300971848
111,1.5000000000000009,10.797856384683424,-36.22983038457881
112,1.5000000000000009,10.794928308199896,-36.22343604368427
113,1.5000000000000009,10.79556365831916,-36.22791476980815
114,1.5000000000000009,10.796116493603861,-36.2324096519302
